Season,ConfAbbrev,ConfName,DayNum,WName,WTeamID,LName,LTeamID
2001,a_sun,Atlantic Sun Conference,121,FL Atlantic,1194,Campbell,1144
2001,a_sun,Atlantic Sun Conference,121,UCF,1416,Jacksonville St.,1240
2001,a_sun,Atlantic Sun Conference,122,Georgia St.,1209,FL Atlantic,1194
2001,a_sun,Atlantic Sun Conference,122,Samford,1359,Jacksonville,1239
2001,a_sun,Atlantic Sun Conference,122,Stetson,1391,Mercer,1273
2001,a_sun,Atlantic Sun Conference,122,Troy,1407,UCF,1416
2001,a_sun,Atlantic Sun Conference,123,Georgia St.,1209,Samford,1359
2001,a_sun,Atlantic Sun Conference,123,Troy,1407,Stetson,1391
2001,a_sun,Atlantic Sun Conference,124,Georgia St.,1209,Troy,1407
2001,a_ten,Atlantic 10 Conference,128,Dayton,1173,Rhode Island,1348
2001,a_ten,Atlantic 10 Conference,128,G Washington,1203,Duquesne,1182
2001,a_ten,Atlantic 10 Conference,128,La Salle,1247,Fordham,1200
2001,a_ten,Atlantic 10 Conference,129,G Washington,1203,Xavier,1462
2001,a_ten,Atlantic 10 Conference,129,Massachusetts,1269,St. Bonaventure,1382
2001,a_ten,Atlantic 10 Conference,129,Saint Joseph's,1386,La Salle,1247
2001,a_ten,Atlantic 10 Conference,129,Temple,1396,Dayton,1173
2001,a_ten,Atlantic 10 Conference,130,Massachusetts,1269,Saint Joseph's,1386
2001,a_ten,Atlantic 10 Conference,130,Temple,1396,G Washington,1203
2001,a_ten,Atlantic 10 Conference,131,Temple,1396,Massachusetts,1269
2001,acc,Atlantic Coast Conference,129,Clemson,1155,Florida St.,1199
2001,acc,Atlantic Coast Conference,130,Duke,1181,NC State,1301
2001,acc,Atlantic Coast Conference,130,Georgia Tech,1210,Virginia,1438
2001,acc,Atlantic Coast Conference,130,Maryland,1268,Wake Forest,1448
2001,acc,Atlantic Coast Conference,130,North Carolina,1314,Clemson,1155
2001,acc,Atlantic Coast Conference,131,Duke,1181,Maryland,1268
2001,acc,Atlantic Coast Conference,131,North Carolina,1314,Georgia Tech,1210
2001,acc,Atlantic Coast Conference,132,Duke,1181,North Carolina,1314
