Season,DayNum,WName,WTeamID,WScore,LName,LTeamID,LScore,NumOT
1985,136,Arkansas,1116,63,Iowa,1234,54,0
1985,136,Auburn,1120,59,Purdue,1345,58,0
1985,136,Georgetown,1207,68,Lehigh,1250,43,0
1985,136,Illinois St.,1229,58,USC,1425,55,0
1985,136,Kansas,1242,49,Ohio,1325,38,0
1985,136,Kentucky,1246,66,Washington,1449,58,0
1985,136,Louisiana Tech,1256,78,Pittsburgh,1338,54,0
1985,136,Loyola-Chicago,1260,59,Iona,1233,58,0
1985,136,North Carolina,1314,76,MTSU,1292,57,0
1985,136,Notre Dame,1323,79,Oregon St.,1333,70,0
1985,136,Ohio St.,1326,75,Iowa St.,1235,64,0
1985,136,Oklahoma,1328,96,NC A&T,1299,83,0
1985,136,SMU,1374,85,Old Dominion,1330,68,0
1985,136,St. John's,1385,83,Southern Univ,1380,59,0
1985,136,Temple,1396,60,Virginia Tech,1439,57,0
1985,136,UNLV,1424,85,San Diego St.,1361,80,0
1985,137,Alabama,1104,50,Arizona,1112,41,0
1985,137,Boston College,1130,55,Texas Tech,1403,53,0
1985,137,Duke,1181,75,Pepperdine,1337,62,0
1985,137,Georgia,1208,67,Wichita St.,1455,59,0
1985,137,Georgia Tech,1210,65,Mercer,1273,58,0
1985,137,Illinois,1228,76,Northeastern,1318,57,0
1985,137,Maryland,1268,69,Miami OH,1275,68,1
1985,137,Memphis,1272,67,Penn,1335,55,0
1985,137,Michigan,1276,59,F Dickinson,1192,55,0
1985,137,Navy,1298,78,LSU,1261,55,0
1985,137,NC State,1301,65,Nevada,1305,56,0
1985,137,Syracuse,1393,70,DePaul,1177,65,0
1985,137,UAB,1412,70,Michigan St.,1277,68,0
1985,137,UTEP,1431,79,Tulsa,1409,75,0
1985,137,VCU,1433,81,Marshall,1267,65,0
1985,137,Villanova,1437,51,Dayton,1173,49,0
1985,138,Auburn,1120,66,Kansas,1242,64,0
1985,138,Georgetown,1207,63,Temple,1396,46,0
1985,138,Kentucky,1246,64,UNLV,1424,61,0
1985,138,Louisiana Tech,1256,79,Ohio St.,1326,67,0
1985,138,Loyola-Chicago,1260,70,SMU,1374,57,0
1985,138,North Carolina,1314,60,Notre Dame,1323,58,0
1985,138,Oklahoma,1328,75,Illinois St.,1229,69,0
1985,138,St. John's,1385,68,Arkansas,1116,65,0
1985,139,Alabama,1104,63,VCU,1433,59,0
1985,139,Boston College,1130,74,Duke,1181,73,0
1985,139,Georgia Tech,1210,70,Syracuse,1393,53,0
1985,139,Illinois,1228,74,Georgia,1208,58,0
1985,139,Maryland,1268,64,Navy,1298,59,0
1985,139,Memphis,1272,67,UAB,1412,66,1
1985,139,NC State,1301,86,UTEP,1431,73,0
1985,139,Villanova,1437,59,Michigan,1276,55,0
1985,143,Georgetown,1207,65,Loyola-Chicago,1260,53,0
1985,143,Georgia Tech,1210,61,Illinois,1228,53,0
1985,143,Memphis,1272,59,Boston College,1130,57,0
1985,143,Oklahoma,1328,86,Louisiana Tech,1256,84,1
1985,144,NC State,1301,61,Alabama,1104,55,0
1985,144,North Carolina,1314,62,Auburn,1120,56,0
1985,144,St. John's,1385,86,Kentucky,1246,70,0
1985,144,Villanova,1437,46,Maryland,1268,43,0
1985,145,Georgetown,1207,60,Georgia Tech,1210,54,0
1985,145,Memphis,1272,63,Oklahoma,1328,61,0
1985,146,St. John's,1385,69,NC State,1301,60,0
1985,146,Villanova,1437,56,North Carolina,1314,44,0
1985,152,Georgetown,1207,77,St. John's,1385,59,0
1985,152,Villanova,1437,52,Memphis,1272,45,0
1985,154,Villanova,1437,66,Georgetown,1207,64,0
1986,136,Bradley,1133,83,UTEP,1431,65,0
1986,136,DePaul,1177,72,Virginia,1438,68,0
1986,136,Duke,1181,85,MS Valley St.,1290,78,0
1986,136,Georgetown,1207,70,Texas Tech,1403,64,0
1986,136,Georgia Tech,1210,68,Marist,1265,53,0
1986,136,Kansas,1242,71,NC A&T,1299,46,0
1986,136,Louisville,1257,93,Drexel,1180,73,0
1986,136,LSU,1261,94,Purdue,1345,87,1
1986,136,Memphis,1272,95,Ball St.,1123,63,0
1986,136,Michigan St.,1277,72,Washington,1449,70,0
1986,136,North Carolina,1314,84,Utah,1428,72,0
1986,136,Oklahoma,1328,80,Northeastern,1318,74,0
1986,136,Old Dominion,1330,72,West Virginia,1452,64,0
1986,136,Temple,1396,61,Jacksonville,1239,50,1
1986,136,UAB,1412,66,Missouri,1281,64,0
1986,136,Villanova,1437,71,Virginia Tech,1439,62,0
1986,137,Alabama,1104,97,Xavier,1462,80,0
1986,137,Ark Little Rock,1114,90,Notre Dame,1323,83,0
1986,137,Auburn,1120,73,Arizona,1112,63,0
1986,137,Cleveland St.,1156,83,Indiana,1231,79,0
1986,137,Illinois,1228,75,Fairfield,1193,51,0
1986,137,Iowa St.,1235,81,Miami OH,1275,79,1
1986,137,Kentucky,1246,75,Davidson,1172,55,0
1986,137,Maryland,1268,69,Pepperdine,1337,64,0
1986,137,Michigan,1276,70,Akron,1103,64,0
1986,137,Navy,1298,87,Tulsa,1409,68,0
1986,137,NC State,1301,66,Iowa,1234,64,0
1986,137,St. John's,1385,83,Montana St.,1286,74,0
1986,137,Saint Joseph's,1386,60,Richmond,1350,59,0
1986,137,Syracuse,1393,101,Brown,1135,52,0
1986,137,UNLV,1424,74,ULM,1419,51,0
1986,137,WKU,1443,67,Nebraska,1304,59,0
1986,138,DePaul,1177,74,Oklahoma,1328,69,0
1986,138,Duke,1181,89,Old Dominion,1330,61,0
1986,138,Georgia Tech,1210,66,Villanova,1437,61,0
1986,138,Kansas,1242,65,Temple,1396,43,0
1986,138,Louisville,1257,82,Bradley,1133,68,0
1986,138,LSU,1261,83,Memphis,1272,81,0
1986,138,Michigan St.,1277,80,Georgetown,1207,68,0
