Season,DayNum,WName,WTeamID,WScore,LName,LTeamID,LScore,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2003,134,UNC Asheville,1421,92,TX Southern,1411,84,1,32,69,11,29,17,26,14,30,17,12,5,3,22,29,67,12,31,14,31,17,28,16,15,5,0,22
2003,136,Arizona,1112,80,Vermont,1436,51,0,31,66,7,23,11,14,11,36,22,16,10,7,8,20,64,4,16,7,7,8,26,12,17,10,3,15
2003,136,Arizona St,1113,84,Memphis,1272,71,0,31,59,6,14,16,22,10,27,18,9,7,4,19,25,69,7,28,14,21,20,22,11,12,2,5,18
2003,136,C Michigan,1141,79,Creighton,1166,73,0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21
2003,136,California,1143,76,NC State,1301,74,1,27,64,7,20,15,23,18,20,17,13,8,2,14,25,56,9,21,15,20,10,26,16,14,5,8,19
2003,136,Connecticut,1163,58,BYU,1140,53,0,17,52,4,14,20,27,12,29,8,14,3,8,16,20,64,2,17,11,13,15,26,11,11,8,4,22
2003,136,Duke,1181,67,Colorado St,1161,57,0,19,54,4,13,25,31,13,27,4,16,10,8,23,18,54,3,11,18,22,11,24,8,19,5,4,19
2003,136,Gonzaga,1211,74,Cincinnati,1153,69,0,20,47,6,14,28,37,8,28,12,12,2,2,15,26,66,10,27,7,10,13,22,13,10,7,6,24
2003,136,Illinois,1228,65,WKU,1443,60,0,24,56,5,14,12,14,15,23,15,14,11,4,14,22,58,8,24,8,13,17,18,10,14,6,5,16
2003,136,Kansas,1242,64,Utah St,1429,61,0,28,51,2,6,6,11,7,20,13,11,8,4,17,23,56,6,17,9,10,13,19,13,13,6,1,15
2003,136,Marquette,1266,72,Holy Cross,1221,68,0,22,51,9,16,19,23,11,20,14,10,4,3,23,24,54,5,15,15,25,14,20,14,9,4,1,20
2003,136,Missouri,1281,72,S Illinois,1356,71,0,28,52,5,13,11,18,9,32,7,23,4,6,19,26,65,8,19,11,21,11,18,19,13,6,0,19
2003,136,Notre Dame,1323,70,WI Milwaukee,1454,69,0,23,54,3,13,21,25,11,33,7,20,6,6,19,23,66,8,23,15,20,14,23,15,12,11,3,25
2003,136,Oklahoma,1328,71,S Carolina St,1354,54,0,24,52,10,18,13,24,11,24,16,14,8,3,12,21,52,6,20,6,8,7,22,8,18,7,2,23
2003,136,Stanford,1390,77,San Diego,1360,69,0,29,64,8,24,11,15,12,29,16,14,4,8,24,20,61,4,18,25,32,17,25,7,11,3,0,18
2003,136,Tulsa,1409,84,Dayton,1173,71,0,33,57,8,12,10,13,8,26,18,12,6,1,11,28,66,9,28,6,9,12,16,11,11,3,3,19
2003,136,Wisconsin,1458,81,Weber St,1451,74,0,31,58,6,16,13,22,10,24,16,9,7,2,16,29,71,7,24,9,15,22,21,9,10,4,0,20
2003,137,Auburn,1120,65,St Joseph's PA,1386,63,1,25,57,7,18,8,13,14,24,11,15,4,5,16,22,59,6,24,13,16,15,21,11,12,8,4,19
2003,137,Butler,1139,47,Mississippi St,1280,46,0,18,47,5,18,6,8,7,19,5,8,3,0,15,16,44,6,21,8,14,8,22,10,10,6,4,13
2003,137,Florida,1196,85,Sam Houston St,1358,55,0,32,61,13,28,8,14,9,31,24,10,6,3,15,19,57,6,18,11,18,12,25,10,16,1,4,16
2003,137,Indiana,1231,67,Alabama,1104,62,0,19,49,7,18,22,26,13,22,15,8,1,2,17,22,52,5,12,13,16,9,20,13,8,2,6,21
2003,137,Kentucky,1246,95,IUPUI,1237,64,0,40,65,10,20,5,11,10,25,22,13,7,4,17,22,60,4,15,16,22,15,18,10,19,7,1,15
2003,137,Louisville,1257,86,Austin Peay,1122,64,0,35,70,8,24,8,13,15,29,18,12,12,4,22,24,54,2,21,14,22,8,21,11,18,5,3,18
2003,137,Maryland,1268,75,UNC Wilmington,1423,73,0,27,54,10,19,11,15,8,27,17,13,3,3,20,20,55,13,29,20,26,10,19,16,8,7,1,19
2003,137,Michigan St,1277,79,Colorado,1160,64,0,26,56,7,13,20,25,10,28,16,11,5,1,18,26,60,5,14,7,17,12,23,9,13,6,8,19
2003,137,Oklahoma St,1329,77,Penn,1335,63,0,27,50,7,20,16,28,10,15,15,11,12,0,17,20,41,8,18,15,16,2,13,17,18,5,0,20
2003,137,Pittsburgh,1338,87,Wagner,1447,61,0,33,59,9,16,12,21,10,23,22,9,14,6,19,21,51,7,21,12,18,9,20,13,19,6,2,20
2003,137,Purdue,1345,80,LSU,1261,56,0,27,52,9,16,17,19,8,25,7,19,9,1,18,20,60,6,26,10,17,17,18,7,16,7,3,13
2003,137,Syracuse,1393,76,Manhattan,1264,65,0,30,52,4,11,12,15,11,28,16,18,5,9,17,22,61,6,21,15,18,14,14,16,11,9,2,14
2003,137,Texas,1400,82,UNC Asheville,1421,61,0,31,62,6,16,14,20,19,28,15,14,6,2,16,23,62,5,21,10,12,13,16,5,11,9,3,16
2003,137,Utah,1428,60,Oregon,1332,58,0,18,61,9,23,15,18,13,23,8,15,7,4,22,19,55,3,17,17,24,13,29,8,17,6,2,22
2003,137,Wake Forest,1448,76,ETSU,1190,73,0,29,69,6,23,12,20,19,29,13,19,8,9,19,24,60,5,10,20,28,13,25,7,15,12,4,20
2003,137,Xavier,1462,71,Troy,1407,59,0,26,64,6,20,13,18,17,30,19,10,5,4,11,23,65,11,29,2,6,12,21,13,9,6,6,19
2003,138,Arizona,1112,96,Gonzaga,1211,95,2,34,74,7,24,21,29,18,29,18,9,7,4,20,34,77,11,30,16,21,16,27,20,11,5,5,25
2003,138,Connecticut,1163,85,Stanford,1390,74,0,31,68,6,10,17,21,17,26,12,9,4,1,13,27,62,8,23,12,17,11,22,12,11,2,6,18
