Season,Seed,TeamName,TeamID
1985,W01,Georgetown,1207
1985,W02,Georgia Tech,1210
1985,W03,Illinois,1228
1985,W04,Loyola-Chicago,1260
1985,W05,SMU,1374
1985,W06,Georgia,1208
1985,W07,Syracuse,1393
1985,W08,Temple,1396
1985,W09,Virginia Tech,1439
1985,W10,DePaul,1177
1985,W11,Wichita St.,1455
1985,W12,Old Dominion,1330
1985,W13,Iona,1233
1985,W14,Northeastern,1318
1985,W15,Mercer,1273
1985,W16,Lehigh,1250
1985,X01,St. John's,1385
1985,X02,VCU,1433
1985,X03,NC State,1301
1985,X04,UNLV,1424
1985,X05,Washington,1449
1985,X06,Tulsa,1409
1985,X07,Alabama,1104
1985,X08,Iowa,1234
1985,X09,Arkansas,1116
1985,X10,Arizona,1112
1985,X11,UTEP,1431
1985,X12,Kentucky,1246
1985,X13,San Diego St.,1361
1985,X14,Nevada,1305
1985,X15,Marshall,1267
1985,X16,Southern Univ,1380
1985,Y01,Oklahoma,1328
1985,Y02,Memphis,1272
1985,Y03,Duke,1181
1985,Y04,Ohio St.,1326
1985,Y05,Louisiana Tech,1256
1985,Y06,Texas Tech,1403
1985,Y07,UAB,1412
1985,Y08,USC,1425
1985,Y09,Illinois St.,1229
1985,Y10,Michigan St.,1277
1985,Y11,Boston College,1130
1985,Y12,Pittsburgh,1338
1985,Y13,Iowa St.,1235
1985,Y14,Pepperdine,1337
1985,Y15,Penn,1335
1985,Y16,NC A&T,1299
1985,Z01,Michigan,1276
1985,Z02,North Carolina,1314
1985,Z03,Kansas,1242
1985,Z04,LSU,1261
1985,Z05,Maryland,1268
1985,Z06,Purdue,1345
1985,Z07,Notre Dame,1323
1985,Z08,Villanova,1437
1985,Z09,Dayton,1173
1985,Z10,Oregon St.,1333
1985,Z11,Auburn,1120
1985,Z12,Miami OH,1275
1985,Z13,Navy,1298
1985,Z14,Ohio,1325
1985,Z15,MTSU,1292
1985,Z16,F Dickinson,1192
1986,W01,Duke,1181
1986,W02,Syracuse,1393
1986,W03,Indiana,1231
1986,W04,Oklahoma,1328
1986,W05,Virginia,1438
1986,W06,Saint Joseph's,1386
1986,W07,Navy,1298
1986,W08,Old Dominion,1330
1986,W09,West Virginia,1452
1986,W10,Tulsa,1409
1986,W11,Richmond,1350
1986,W12,DePaul,1177
1986,W13,Northeastern,1318
1986,W14,Cleveland St.,1156
1986,W15,Brown,1135
1986,W16,MS Valley St.,1290
1986,X01,Kansas,1242
1986,X02,Michigan,1276
