Season,Slot,StrongSeed,WeakSeed,StrongTeamName,WeakTeamName,StrongTeamSeed,WeakTeamSeed,StrongID,WeakID
1985,R1W1,W01,W16,Georgetown,Lehigh,W01,W16,1207,1250
1985,R1W2,W02,W15,Georgia Tech,Mercer,W02,W15,1210,1273
1985,R1W3,W03,W14,Illinois,Northeastern,W03,W14,1228,1318
1985,R1W4,W04,W13,Loyola-Chicago,Iona,W04,W13,1260,1233
1985,R1W5,W05,W12,SMU,Old Dominion,W05,W12,1374,1330
1985,R1W6,W06,W11,Georgia,Wichita St.,W06,W11,1208,1455
1985,R1W7,W07,W10,Syracuse,DePaul,W07,W10,1393,1177
1985,R1W8,W08,W09,Temple,Virginia Tech,W08,W09,1396,1439
1985,R1X1,X01,X16,St. John's,Southern Univ,X01,X16,1385,1380
1985,R1X2,X02,X15,VCU,Marshall,X02,X15,1433,1267
1985,R1X3,X03,X14,NC State,Nevada,X03,X14,1301,1305
1985,R1X4,X04,X13,UNLV,San Diego St.,X04,X13,1424,1361
1985,R1X5,X05,X12,Washington,Kentucky,X05,X12,1449,1246
1985,R1X6,X06,X11,Tulsa,UTEP,X06,X11,1409,1431
1985,R1X7,X07,X10,Alabama,Arizona,X07,X10,1104,1112
1985,R1X8,X08,X09,Iowa,Arkansas,X08,X09,1234,1116
1985,R1Y1,Y01,Y16,Oklahoma,NC A&T,Y01,Y16,1328,1299
1985,R1Y2,Y02,Y15,Memphis,Penn,Y02,Y15,1272,1335
1985,R1Y3,Y03,Y14,Duke,Pepperdine,Y03,Y14,1181,1337
1985,R1Y4,Y04,Y13,Ohio St.,Iowa St.,Y04,Y13,1326,1235
1985,R1Y5,Y05,Y12,Louisiana Tech,Pittsburgh,Y05,Y12,1256,1338
1985,R1Y6,Y06,Y11,Texas Tech,Boston College,Y06,Y11,1403,1130
1985,R1Y7,Y07,Y10,UAB,Michigan St.,Y07,Y10,1412,1277
1985,R1Y8,Y08,Y09,USC,Illinois St.,Y08,Y09,1425,1229
