Season,SeasonStart,SeasonEnd,RegionW,RegionX,RegionY,RegionZ
1985,1984-10-29,1985-04-01,East,West,Midwest,Southeast
1986,1985-10-28,1986-03-31,East,Midwest,Southeast,West
1987,1986-10-27,1987-03-30,East,Southeast,Midwest,West
1988,1987-11-02,1988-04-04,East,Midwest,Southeast,West
1989,1988-10-31,1989-04-03,East,West,Midwest,Southeast
1990,1989-10-30,1990-04-02,East,Midwest,Southeast,West
1991,1990-10-29,1991-04-01,East,Southeast,Midwest,West
1992,1991-11-04,1992-04-06,East,West,Midwest,Southeast
1993,1992-11-02,1993-04-05,East,Midwest,Southeast,West
1994,1993-11-01,1994-04-04,East,Southeast,Midwest,West
1995,1994-10-31,1995-04-03,East,West,Midwest,Southeast
1996,1995-10-30,1996-04-01,East,Midwest,Southeast,West
1997,1996-10-28,1997-03-31,East,Southeast,Midwest,West
1998,1997-10-27,1998-03-30,East,West,Midwest,South
1999,1998-10-26,1999-03-29,East,Midwest,South,West
2000,1999-11-01,2000-04-03,East,South,Midwest,West
2001,2000-10-30,2001-04-02,East,West,Midwest,South
2002,2001-10-29,2002-04-01,East,Midwest,South,West
2003,2002-11-04,2003-04-07,East,South,Midwest,West
2004,2003-11-03,2004-04-05,Atlanta,Phoenix,EastRutherford,StLouis
2005,2004-11-01,2005-04-04,Albuquerque,Chicago,Austin,Syracuse
2006,2005-10-31,2006-04-03,Atlanta,Oakland,Minneapolis,WashingtonDC
2007,2006-10-30,2007-04-02,East,South,Midwest,West
2008,2007-11-05,2008-04-07,East,Midwest,South,West
2009,2008-11-03,2009-04-06,East,South,Midwest,West
2010,2009-11-02,2010-04-05,East,South,Midwest,West
2011,2010-11-01,2011-04-04,East,West,Southeast,Southwest
2012,2011-10-31,2012-04-02,East,Midwest,South,West
2013,2012-11-05,2013-04-08,East,South,Midwest,West
2014,2013-11-04,2014-04-07,East,South,Midwest,West
2015,2014-11-03,2015-04-06,East,South,Midwest,West
2016,2015-11-02,2016-04-04,East,Midwest,South,West
2017,2016-10-31,2017-04-03,East,West,Midwest,South
2018,2017-10-30,2018-04-02,East,Midwest,South,West
2019,2018-11-05,2019-04-08,East,West,Midwest,South
2020,2019-11-04,2020-04-06,NA1,NA2,NA3,NA4
2021,2020-11-02,2021-04-05,East,West,Midwest,South
2022,2021-11-01,2022-04-04,East,West,Midwest,South
2023,2022-10-31,2023-04-03,East,South,Midwest,West
2024,2023-11-06,2024-04-08,East,West,Midwest,South
2025,2024-11-04,2025-04-07,East,Midwest,South,West
