SEED,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2
1,646,515,131,0.797,156,154,132,103,62,39
2,514,363,151,0.706,156,145,99,69,32,13
3,439,287,152,0.654,156,133,82,40,17,11
4,397,243,154,0.612,156,123,74,25,15,4
5,336,180,156,0.536,156,101,54,12,9,4
6,318,163,155,0.513,156,95,45,17,3,2
7,294,139,155,0.473,155,96,29,10,3,1
8,266,111,155,0.417,156,75,16,9,6,4
9,252,96,156,0.381,156,81,8,5,2,0
10,249,94,155,0.378,155,60,24,9,1,0
11,260,104,156,0.4,156,61,27,10,6,0
12,235,79,156,0.336,156,55,22,2,0,0
13,195,39,156,0.2,156,33,6,0,0,0
14,181,25,156,0.138,156,23,2,0,0,0
15,172,16,156,0.093,156,11,4,1,0,0
16,158,2,156,0.013,156,2,0,0,0,0
